NBA Season,Team,% Salary Cap,Prev # All-Stars,Prev W-L,# (H) Games,(H) Attendance Season,(H) Arena Capacity,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Avg Attendance,(A) % Capacity,(A) Games,(H) & (A) Avg,(H) & (A) PCT
2008-2009,New Orleans Pelicans,1.15,2,0.68,41,695727,16867,691547,16969,0.99,40,17702,0.92,81,17335,0.95
2009-2010,New Orleans Pelicans,1.12,1,0.6,41,620366,16867,691547,15131,0.89,41,17168,0.9,82,16149,0.89
2010-2011,New Orleans Pelicans,1.12,1,0.45,41,603088,16867,691547,14709,0.86,41,17179,0.9,82,15944,0.88
2011-2012,New Orleans Pelicans,1.09,0,0.56,33,498618,16867,556611,15110,0.88,33,16717,0.88,66,15913,0.88
2012-2013,New Orleans Pelicans,1.08,0,0.32,41,565930,16867,691547,13803,0.8,41,17254,0.9,82,15529,0.85
2013-2014,New Orleans Pelicans,1.06,1,0.33,41,672029,16867,691547,16391,0.95,41,17397,0.91,82,16894,0.93
2014-2015,New Orleans Pelicans,1.1,1,0.37,41,683757,16867,691547,16677,0.97,41,17640,0.92,82,17159,0.95
2015-2016,New Orleans Pelicans,1.22,1,0.55,41,688549,16867,691547,16794,0.98,41,17851,0.94,82,17322,0.96
2016-2017,New Orleans Pelicans,1.11,1,0.42,41,688549,16867,691547,16794,0.98,41,17851,0.94,82,17322,0.96
2008-2009,New York Knicks,1.65,0,0.28,41,790801,19812,812292,19288,0.98,40,17729,0.92,81,18508,0.95
2009-2010,New York Knicks,1.37,1,0.39,41,799550,19812,812292,19501,0.99,41,17315,0.9,82,18408,0.94
2010-2011,New York Knicks,1.1,1,0.35,41,808879,19812,812292,19729,1,41,18044,0.94,82,18886,0.97
2011-2012,New York Knicks,1.27,1,0.51,33,652179,19812,653796,19763,1,33,18407,0.96,66,19085,0.98
2012-2013,New York Knicks,1.32,2,0.55,41,780353,19812,812292,19033,0.96,41,18271,0.95,82,18652,0.95
2013-2014,New York Knicks,1.51,1,0.66,41,812292,19812,812292,19812,1,41,17422,0.9,82,18617,0.95
2014-2015,New York Knicks,1.32,1,0.45,41,812292,19812,812292,19812,1,41,17462,0.91,82,18637,0.95
2015-2016,New York Knicks,1.09,1,0.21,41,812292,19812,812292,19812,1,41,18440,0.96,82,19126,0.98
2016-2017,New York Knicks,1.13,1,0.39,41,812292,19812,812292,19812,1,41,18440,0.96,82,19126,0.98
2008-2009,Oklahoma City Thunder,1.16,0,0.24,40,747732,18203,728120,18693,0.98,41,16679,0.87,81,17686,0.92
2009-2010,Oklahoma City Thunder,0.93,1,0.28,41,738149,18203,746323,18004,0.99,41,16876,0.88,82,17440,0.94
2010-2011,Oklahoma City Thunder,0.91,2,0.61,41,744068,18203,746323,18148,1,41,17774,0.93,82,17961,0.97
2011-2012,Oklahoma City Thunder,0.99,2,0.67,33,600699,18203,600699,18203,1,33,18031,0.95,66,18117,0.98
2012-2013,Oklahoma City Thunder,1.15,2,0.71,41,746323,18203,746323,18203,1,41,18335,0.96,82,18269,0.98
2013-2014,Oklahoma City Thunder,1.21,1,0.73,41,746323,18203,746323,18203,1,41,18170,0.95,82,18187,0.98
2014-2015,Oklahoma City Thunder,1.25,2,0.72,41,746323,18203,746323,18203,1,41,17956,0.94,82,18080,0.97
2015-2016,Oklahoma City Thunder,1.37,2,0.55,41,746323,18203,746323,18203,1,41,18258,0.96,82,18231,0.98
2016-2017,Oklahoma City Thunder,1,1,0.67,41,746323,18203,746323,18203,1,41,18258,0.96,82,18231,0.98
2008-2009,Orlando Magic,1.19,3,0.63,41,698768,17283,708603,17043,0.98,40,17900,0.92,81,17472,0.95
2009-2010,Orlando Magic,1.31,1,0.72,41,715901,17283,708603,17461,1,41,17838,0.92,82,17650,0.96
2010-2011,Orlando Magic,1.48,1,0.72,41,777852,18846,772686,18972,1.03,41,17428,0.91,82,18200,0.97
2011-2012,Orlando Magic,1.45,1,0.63,33,623587,18846,621918,18897,1.02,33,17161,0.89,66,18029,0.95
2012-2013,Orlando Magic,1.47,0,0.56,41,721414,18846,772686,17595,0.93,41,16821,0.87,82,17208,0.9
2013-2014,Orlando Magic,0.99,0,0.24,41,666046,18846,772686,16245,0.86,41,16583,0.86,82,16414,0.86
2014-2015,Orlando Magic,0.85,0,0.28,41,688194,18846,772686,16785,0.89,41,17585,0.91,82,17185,0.9
2015-2016,Orlando Magic,0.92,0,0.31,41,719275,18846,772686,17543,0.93,41,17175,0.89,82,17359,0.91
2016-2017,Orlando Magic,1.14,1,0.43,41,719275,18846,772686,17543,0.93,41,17175,0.89,82,17359,0.91
2008-2009,Philadelphia 76ers,1.16,0,0.49,41,647898,20238,829758,15802,0.8,40,17358,0.9,81,16580,0.85
2009-2010,Philadelphia 76ers,1.03,1,0.5,41,583219,20238,829758,14225,0.7,41,16889,0.88,82,15557,0.79
2010-2011,Philadelphia 76ers,1.13,0,0.33,41,604823,20238,829758,14752,0.73,41,17155,0.9,82,15953,0.81
2011-2012,Philadelphia 76ers,1.11,1,0.5,33,577597,20238,667854,17503,0.86,33,16764,0.87,66,17133,0.86
2012-2013,Philadelphia 76ers,1.42,1,0.53,41,685412,20238,829758,16717,0.82,41,17323,0.9,82,17020,0.86
2013-2014,Philadelphia 76ers,1,0,0.42,41,568632,20238,829758,13869,0.68,41,17441,0.91,82,15655,0.79
2014-2015,Philadelphia 76ers,0.9,0,0.23,41,571572,20238,829758,13941,0.69,41,17665,0.92,82,15803,0.8
2015-2016,Philadelphia 76ers,0.92,0,0.22,41,610121,20238,829758,14881,0.73,41,17491,0.91,82,16186,0.82
2016-2017,Philadelphia 76ers,0.94,1,0.12,41,610121,20238,829758,14881,0.73,41,17491,0.91,82,16186,0.82
2008-2009,Phoenix Suns,1.3,2,0.67,41,755302,18422,755302,18422,1,41,18122,0.95,82,18272,0.97
2009-2010,Phoenix Suns,1.04,2,0.56,41,723582,18422,755302,17648,0.96,41,17376,0.91,82,17512,0.94
2010-2011,Phoenix Suns,1.08,0,0.66,41,720249,18422,755302,17567,0.95,41,17462,0.92,82,17515,0.94
2011-2012,Phoenix Suns,1.35,1,0.49,33,514718,18422,607926,15598,0.85,33,17806,0.95,66,16702,0.9
2012-2013,Phoenix Suns,1.03,0,0.5,41,632913,18422,755302,15437,0.84,41,17152,0.9,82,16294,0.87
2013-2014,Phoenix Suns,1.1,0,0.31,41,650739,18422,755302,15872,0.86,41,17250,0.9,82,16561,0.88
